Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"TCL","Cultures et produits animaux","004","Afghanistan","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","28937","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","004","Afghanistan","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","28934","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","480345.55","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","410502","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","17515.47","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","16481","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","012","Algérie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","0.4","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","012","Algérie","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","2","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","276","Allemagne","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","474950.63","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","276","Allemagne","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","1101592","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","024","Angola","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","265888.3","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","024","Angola","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","298200","X","Chiffre de source externe","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","028","Antigua-et-Barbuda","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","6143.69","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","028","Antigua-et-Barbuda","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","11927","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","682","Arabie saoudite","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","730959.6","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","682","Arabie saoudite","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","1232031","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","032","Argentine","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2097.23","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","032","Argentine","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","3891","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","051","Arménie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","34419.23","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","051","Arménie","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 USD","39238","A","Chiffre officiel",""
