Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","19034.30282","X","Chiffre de source externe",""
"MK","Indicateurs macro","004","Afghanistan","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","533.339061","X","Chiffre de source externe",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","381136.716379","X","Chiffre de source externe",""
"MK","Indicateurs macro","710","Afrique du Sud","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","6612.920015","X","Chiffre de source externe",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","13019.731318","X","Chiffre de source externe",""
"MK","Indicateurs macro","008","Albanie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","4492.285003","X","Chiffre de source externe",""
"MK","Indicateurs macro","012","Algérie","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","170096.987241","X","Chiffre de source externe",""
"MK","Indicateurs macro","012","Algérie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","4080.111475","X","Chiffre de source externe",""
"MK","Indicateurs macro","276","Allemagne","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","3763092.263753","X","Chiffre de source externe",""
"MK","Indicateurs macro","276","Allemagne","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","45281.718651","X","Chiffre de source externe",""
"MK","Indicateurs macro","020","Andorre","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","3000.160225","X","Chiffre de source externe",""
"MK","Indicateurs macro","020","Andorre","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","40673.244876","X","Chiffre de source externe",""
"MK","Indicateurs macro","024","Angola","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","122123.857987","X","Chiffre de source externe",""
"MK","Indicateurs macro","024","Angola","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","4039.176725","X","Chiffre de source externe",""
"MK","Indicateurs macro","660","Anguilla","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","278.885513","X","Chiffre de source externe",""
"MK","Indicateurs macro","660","Anguilla","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","19333.484408","X","Chiffre de source externe",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1531.111111","X","Chiffre de source externe",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","16924.339116","X","Chiffre de source externe",""
"MK","Indicateurs macro","682","Arabie saoudite","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","714994.694992","X","Chiffre de source externe",""
"MK","Indicateurs macro","682","Arabie saoudite","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","23227.384757","X","Chiffre de source externe",""
"MK","Indicateurs macro","032","Argentine","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","643628.396191","X","Chiffre de source externe",""
"MK","Indicateurs macro","032","Argentine","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","14532.500997","X","Chiffre de source externe",""
"MK","Indicateurs macro","051","Arménie","6110","Valeur US$","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","11527.458713","X","Chiffre de source externe",""
"MK","Indicateurs macro","051","Arménie","6119","Valeur US$ par habitant","22008","Produit Intérieur Brut","2017","2017","USD","3954.580808","X","Chiffre de source externe",""
