Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2015.1","A","Chiffre officiel"
"PP","Prix à la Production","012","Algérie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2180.7","A","Chiffre officiel"
"PP","Prix à la Production","276","Allemagne","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1459.5","A","Chiffre officiel"
"PP","Prix à la Production","032","Argentine","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1324.1","A","Chiffre officiel"
"PP","Prix à la Production","051","Arménie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","3741.2","A","Chiffre officiel"
"PP","Prix à la Production","040","Autriche","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2350.9","A","Chiffre officiel"
"PP","Prix à la Production","031","Azerbaïdjan","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1783.7","A","Chiffre officiel"
"PP","Prix à la Production","070","Bosnie-Herzégovine","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","967.5","A","Chiffre officiel"
"PP","Prix à la Production","096","Brunéi Darussalam","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","3287.7","A","Chiffre officiel"
"PP","Prix à la Production","132","Cabo Verde","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","4469.3","A","Chiffre officiel"
"PP","Prix à la Production","156","Chine, continentale","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1681.4","A","Chiffre officiel"
"PP","Prix à la Production","196","Chypre","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2869.4","A","Chiffre officiel"
"PP","Prix à la Production","208","Danemark","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1200.1","A","Chiffre officiel"
"PP","Prix à la Production","818","Égypte","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1510.5","A","Chiffre officiel"
"PP","Prix à la Production","222","El Salvador","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2860","A","Chiffre officiel"
"PP","Prix à la Production","724","Espagne","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1309.1","A","Chiffre officiel"
"PP","Prix à la Production","643","Fédération de Russie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1603.6","A","Chiffre officiel"
"PP","Prix à la Production","242","Fidji","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","3628.7","A","Chiffre officiel"
"PP","Prix à la Production","246","Finlande","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1460.7","A","Chiffre officiel"
"PP","Prix à la Production","250","France","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1705.7","A","Chiffre officiel"
"PP","Prix à la Production","268","Géorgie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1739.1","A","Chiffre officiel"
"PP","Prix à la Production","300","Grèce","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2056","A","Chiffre officiel"
"PP","Prix à la Production","308","Grenade","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","5710.6","A","Chiffre officiel"
"PP","Prix à la Production","352","Islande","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","4442.8","A","Chiffre officiel"
"PP","Prix à la Production","398","Kazakhstan","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1197.7","A","Chiffre officiel"
"PP","Prix à la Production","428","Lettonie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1876.4","A","Chiffre officiel"
"PP","Prix à la Production","422","Liban","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2674","A","Chiffre officiel"
"PP","Prix à la Production","442","Luxembourg","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","5366","A","Chiffre officiel"
"PP","Prix à la Production","458","Malaisie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2011.4","A","Chiffre officiel"
"PP","Prix à la Production","470","Malte","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1341.7","A","Chiffre officiel"
"PP","Prix à la Production","480","Maurice","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1911.8","A","Chiffre officiel"
"PP","Prix à la Production","484","Mexique","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1634","A","Chiffre officiel"
"PP","Prix à la Production","524","Népal","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2572.3","A","Chiffre officiel"
"PP","Prix à la Production","578","Norvège","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2317.5","A","Chiffre officiel"
"PP","Prix à la Production","275","Palestine","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","3589.5","A","Chiffre officiel"
"PP","Prix à la Production","634","Qatar","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","6044","A","Chiffre officiel"
"PP","Prix à la Production","642","Roumanie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1806.3","A","Chiffre officiel"
"PP","Prix à la Production","662","Sainte-Lucie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","4318.5","A","Chiffre officiel"
"PP","Prix à la Production","144","Sri Lanka","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2639.9","A","Chiffre officiel"
"PP","Prix à la Production","740","Suriname","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","3135.8","A","Chiffre officiel"
"PP","Prix à la Production","768","Togo","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2583.3","A","Chiffre officiel"
"PP","Prix à la Production","858","Uruguay","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1318.2","A","Chiffre officiel"
"PP","Prix à la Production","704","Viet Nam","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","3852.8","A","Chiffre officiel"
"PP","Prix à la Production","887","Yémen","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","3877.1","A","Chiffre officiel"
