Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","004","Afghanistan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","27637.84","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","710","Afrique du Sud","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1658159","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","008","Albanie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","12912","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","012","Algérie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","364252.17","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","276","Allemagne","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1009565","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","024","Angola","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","40460.72","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","028","Antigua-et-Barbuda","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","23.48","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","682","Arabie saoudite","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","650000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","032","Argentine","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2116000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","051","Arménie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","10600","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","036","Australie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","1229505","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","040","Autriche","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","127200","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","031","Azerbaïdjan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","104362","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","044","Bahamas","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","6573.06","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","048","Bahreïn","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","8928","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","050","Bangladesh","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","195371.82","I","Valeur imputée par une agence réceptrice",""
"QCL","Cultures et produits animaux","052","Barbade","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","15805.3","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","112","Bélarus","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","484900","X","Chiffre de source externe","Chiffre non officiel"
"QCL","Cultures et produits animaux","056","Belgique","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","455364","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","084","Belize","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","19646","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","204","Bénin","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","14109","A","Chiffre officiel",""
